PhraseId,Sentiment
137744,2
124701,4
22991,2
132881,2
76130,1
66092,1
49513,3
32249,3
79147,2
116659,1
147477,0
104764,2
100442,1
93323,2
62073,1
137947,2
127313,2
1189,2
5911,2
71048,2
96776,2
29255,2
140423,2
54069,2
18634,2
55761,2
141311,2
25800,1
2130,1
93668,2
18358,2
95381,2
101090,2
21108,2
144146,4
131805,2
86791,2
22196,4
9426,2
60637,3
99688,3
11640,2
96634,2
143181,2
44274,2
102426,3
48010,3
57842,2
119057,2
13780,1
127566,2
94277,4
135752,2
78011,2
146377,3
136852,2
115895,2
132732,3
53296,4
143401,4
133539,2
140601,2
128597,3
82447,2
147728,1
57086,2
128255,2
6502,1
138749,2
127656,2
121202,3
36287,2
82275,1
28276,2
2165,2
89857,3
95691,2
24465,2
14454,2
40365,3
137993,2
86751,1
9742,2
84488,2
91757,3
8141,2
68340,2
19126,1
94437,2
22243,3
62950,2
90738,3
52942,2
54900,2
6429,3
137066,2
153512,2
46256,3
148818,3
130677,1
55319,2
63843,4
55431,1
89273,2
26059,2
138638,1
45300,2
65745,2
57867,2
14001,2
62371,2
22519,4
99670,2
152744,0
44693,2
152176,2
47964,3
29462,2
98800,3
133656,3
71528,3
103743,2
36830,2
106168,3
14901,2
17568,2
152065,2
8941,2
126369,2
25997,2
85992,2
143860,2
80034,0
20524,2
85186,2
75465,4
22971,2
70035,3
147718,2
132963,3
41585,2
128517,2
78616,2
106480,2
120542,3
67767,3
6034,2
110023,2
1845,2
111981,2
34152,3
50931,2
10054,2
65231,2
151319,3
29135,1
145761,1
126856,0
7059,2
99581,2
26522,3
153312,3
33987,2
11714,2
31171,2
72386,2
126210,2
59660,2
86221,0
125850,2
43414,0
14054,2
109813,2
68095,3
78276,3
66715,2
88504,2
83982,1
123015,2
127198,2
139570,2
123382,2
28539,2
44023,2
13624,2
139509,3
26875,1
21773,2
92184,3
96116,2
92333,0
106984,2
112619,1
127306,2
82229,1
64582,3
75777,2
39898,2
108077,2
97983,4
53090,3
114898,2
60893,2
142758,2
137800,2
148832,3
148594,4
151726,2
100659,4
12915,2
124074,2
83047,2
34351,2
40477,2
97041,3
571,3
22219,3
123465,2
46057,2
49893,2
111592,1
120656,2
121220,3
41327,2
104674,2
4102,2
34991,2
116205,1
111445,2
142533,2
92569,2
103501,4
85492,3
36926,3
24048,3
83296,2
54214,2
140063,2
139731,1
110951,1
54117,2
16674,2
146104,3
83245,2
46443,2
119519,2
40655,2
116781,2
29192,2
123445,3
134866,1
56629,3
7513,2
44857,2
73537,2
11801,2
85628,1
36016,2
90845,4
19319,2
34785,2
126761,2
358,4
120400,2
151681,3
99774,3
88829,2
67094,2
125886,0
5638,2
105829,3
25233,2
43479,2
140198,2
93634,2
88228,1
105070,3
47089,3
154057,2
141286,1
153036,1
65240,2
40446,2
124782,1
115576,3
87606,3
27435,2
108089,2
6542,3
142075,2
80943,2
155098,0
11516,3
68146,2
104841,2
17305,2
145260,2
63949,4
10033,1
20301,2
117224,3
127281,1
44103,3
36241,2
96534,3
61462,2
49874,2
99326,1
110785,2
48198,2
61092,2
28310,2
57803,2
92135,3
66365,2
44006,1
95336,2
146464,2
105932,2
86422,1
151787,2
53385,2
100717,1
96152,1
96684,2
123194,2
35169,2
129488,1
127091,4
16954,1
44319,1
103973,2
75578,2
114502,2
37944,2
75628,2
78633,1
150491,2
143316,2
107329,3
142548,0
83200,4
