PhraseId,Sentiment
137744,2
124701,4
22991,2
132881,2
76130,1
66092,2
49513,3
32249,4
79147,2
116659,1
147477,0
104764,2
100442,0
93323,3
62073,1
137947,2
127313,2
1189,2
5911,3
71048,2
96776,3
29255,1
140423,1
54069,2
18634,0
55761,2
141311,3
25800,1
2130,2
93668,2
18358,2
95381,2
101090,2
21108,2
144146,4
131805,2
86791,2
22196,4
9426,2
60637,3
99688,3
11640,2
96634,1
143181,2
44274,3
102426,3
48010,3
57842,2
119057,2
13780,1
127566,2
94277,4
135752,2
78011,4
146377,4
136852,1
115895,2
132732,3
53296,3
143401,1
133539,2
140601,2
128597,3
82447,2
147728,1
57086,1
128255,2
6502,1
138749,0
127656,2
121202,0
36287,2
82275,0
28276,2
2165,2
89857,3
95691,2
24465,2
14454,2
40365,3
137993,1
86751,1
9742,2
84488,2
91757,2
8141,2
68340,3
19126,1
94437,2
22243,3
62950,2
90738,1
52942,2
54900,2
6429,4
137066,2
153512,2
46256,3
148818,3
130677,1
55319,2
63843,4
55431,1
89273,2
26059,4
138638,1
45300,2
65745,2
57867,2
14001,4
62371,2
22519,4
99670,2
152744,0
44693,2
152176,2
47964,3
29462,1
98800,3
133656,3
71528,4
103743,2
36830,2
106168,3
14901,2
17568,2
152065,2
8941,2
126369,2
25997,2
85992,3
143860,2
80034,0
20524,2
85186,2
75465,4
22971,3
70035,4
147718,1
132963,4
41585,2
128517,0
78616,2
106480,2
120542,3
67767,3
6034,2
110023,1
1845,3
111981,2
34152,2
50931,2
10054,2
65231,2
151319,3
29135,1
145761,2
126856,0
7059,2
99581,2
26522,3
153312,3
33987,3
11714,2
31171,2
72386,1
126210,0
59660,2
86221,0
125850,2
43414,0
14054,2
109813,2
68095,3
78276,3
66715,2
88504,4
83982,1
123015,1
127198,1
139570,2
123382,2
28539,2
44023,2
13624,2
139509,4
26875,2
21773,2
92184,4
96116,3
92333,0
106984,1
112619,1
127306,2
82229,1
64582,3
75777,2
39898,2
108077,2
97983,4
53090,3
114898,2
60893,2
142758,2
137800,2
148832,2
148594,4
151726,2
100659,3
12915,2
124074,0
83047,2
34351,3
40477,2
97041,4
571,4
22219,3
123465,1
46057,3
49893,2
111592,1
120656,2
121220,0
41327,0
104674,3
4102,2
34991,2
116205,1
111445,2
142533,2
92569,2
103501,4
85492,3
36926,3
24048,3
83296,1
54214,1
140063,2
139731,0
110951,1
54117,2
16674,3
146104,2
83245,2
46443,3
119519,4
40655,3
116781,4
29192,3
123445,3
134866,0
56629,3
7513,4
44857,0
73537,2
11801,1
85628,0
36016,3
90845,4
19319,2
34785,2
126761,2
358,4
120400,2
151681,4
99774,4
88829,3
67094,2
125886,0
5638,1
105829,4
25233,2
43479,2
140198,3
93634,2
88228,1
105070,3
47089,2
154057,2
141286,1
153036,0
65240,1
40446,3
124782,1
115576,3
87606,4
27435,4
108089,1
6542,3
142075,3
80943,2
155098,0
11516,2
68146,2
104841,2
17305,2
145260,3
63949,4
10033,1
20301,2
117224,3
127281,1
44103,3
36241,2
96534,3
61462,2
49874,2
99326,1
110785,2
48198,2
61092,2
28310,2
57803,2
92135,3
66365,2
44006,1
95336,2
146464,2
105932,4
86422,1
151787,3
53385,2
100717,1
96152,1
96684,3
123194,2
35169,2
129488,1
127091,4
16954,1
44319,1
103973,1
75578,2
114502,4
37944,2
75628,2
78633,1
150491,2
143316,2
107329,4
142548,0
83200,4
